end_time,mean_3_days,mean_5_days,mean_7_days,change_cons_3_5,change_cons_3_7,max_temp,min_temp,mean_temp,median_temp,range_temp,diff_cons_now_1_day,diff_cons_now_2_day,diff_cons_now_3_day,diff_cons_now_4_day,diff_cons_now_5_day,diff_cons_now_6_day,diff_cons_now_7_day,diff_cons_now_8_day,diff_cons_now_9_day,diff_cons_now_10_day,diff_max_temp_now_1_day,diff_max_temp_now_2_day,diff_max_temp_now_3_day,diff_max_temp_now_4_day,diff_max_temp_now_5_day,diff_max_temp_now_6_day,diff_max_temp_now_7_day,diff_max_temp_now_8_day,diff_max_temp_now_9_day,diff_min_temp_now_1_day,diff_min_temp_now_2_day,diff_min_temp_now_3_day,diff_min_temp_now_4_day,diff_min_temp_now_5_day,diff_min_temp_now_6_day,diff_min_temp_now_7_day,diff_min_temp_now_8_day,diff_min_temp_now_9_day,diff_mean_temp_now_1_day,diff_mean_temp_now_2_day,diff_mean_temp_now_3_day,diff_mean_temp_now_4_day,diff_mean_temp_now_5_day,diff_mean_temp_now_6_day,diff_mean_temp_now_7_day,diff_mean_temp_now_8_day,diff_mean_temp_now_9_day
2015-08-11 14:00:00,0,0,0,0,0,29,11,19.133333,19,18,0,0,0,0,0,0,-0.0067,0,-0.0067,-0.0134,5,-1,-7,-3,6,-3,0,1,7,16,11,10,13,12,11,17,17,23,10.125,6.5,2.916667,4.916667,9.041667,3.083333,7.166667,8.333333,14.125
2015-08-12 14:00:00,0,0,0,0,0,32,21,25.666667,24,11,0,0,0,0,0,0,0,-0.0067,0,-0.0067,3,8,2,-4,0,9,0,3,4,21,19,14,13,16,15,14,20,20,10.875,13.125,9.5,5.916667,7.916667,12.041667,6.083333,10.166667,11.333333
2015-08-13 14:00:00,0,0,0,0,0,24,17,20.4,21,7,0,0,0,0,0,0,0,0,-0.0067,0,-9,-5,0,-6,-12,-8,1,-8,-5,5,13,11,6,5,8,7,6,12,-1.083333,2.875,5.125,1.5,-2.083333,-0.083333,4.041667,-1.916667,2.166667
2015-08-14 14:00:00,0,0,0,0,0,26,16,19.933333,18,10,0,0,0,0,0,0,0,0,0,-0.0067,2,-7,-3,2,-4,-10,-6,3,-6,9,7,15,13,8,7,10,9,8,5.875,0.916667,4.875,7.125,3.5,-0.083333,1.916667,6.041667,0.083333
2015-08-15 14:00:00,0,0,0,0,0,30,16,22.533333,21,14,0,0,0,0,0,0,0,0,0,0,4,6,-3,1,6,0,-6,-2,7,14,13,11,19,17,12,11,14,13,9.25,9.875,4.916667,8.875,11.125,7.5,3.916667,5.916667,10.041667
2015-08-16 14:00:00,0,0,0,0,0,30,21,25,24,9,0,0,0,0,0,0,0,0,0,0,-1,4,6,-3,1,6,0,-6,-2,14,14,13,11,19,17,12,11,14,5.625,9.25,9.875,4.916667,8.875,11.125,7.5,3.916667,5.916667
2015-08-17 14:00:00,0,0,0,0,0,29,19,22.2,21,10,0,0,0,0,0,0,0,0,0,0,-2,-2,3,5,-4,0,5,-1,-7,10,13,13,12,10,18,16,11,10,3.875,4.625,8.25,8.875,3.916667,7.875,10.125,6.5,2.916667
2015-08-18 14:00:00,0,0,0,0,0,29,19,23.6,22,10,0,0,0,0,0,0,0,0,0,0,0,-2,-2,3,5,-4,0,5,-1,10,10,13,13,12,10,18,16,11,6,3.875,4.625,8.25,8.875,3.916667,7.875,10.125,6.5
2015-08-19 14:00:00,0,0,0,0,0,28,18,22.066667,20,10,0,0,0,0,0,0,0,0,0,0,-1,-1,-3,-3,2,4,-5,-1,4,9,9,9,12,12,11,9,17,15,4,5,2.875,3.625,7.25,7.875,2.916667,6.875,9.125
2015-08-20 14:00:00,0,0,0,0,0,26,15,20.466667,19,11,0,0,0,0,0,0,0,0,0,0,-2,-3,-3,-5,-5,0,2,-7,-3,8,7,7,7,10,10,9,7,15,3.416667,2,3,0.875,1.625,5.25,5.875,0.916667,4.875
2015-08-21 14:00:00,0,0,0,0,0,25,12,19.066667,19,13,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-4,-6,-6,-1,1,-8,10,7,6,6,6,9,9,8,6,4.458333,2.416667,1,2,-0.125,0.625,4.25,4.875,-0.083333
2015-08-22 14:00:00,0,0,0,0,0,25,12,18.533333,19,13,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-4,-6,-6,-1,1,13,10,7,6,6,6,9,9,8,5.541667,4.458333,2.416667,1,2,-0.125,0.625,4.25,4.875
2015-08-23 14:00:00,0,0,0,0,0,25,10,18.066667,18,15,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-3,-4,-4,-6,-6,-1,13,13,10,7,6,6,6,9,9,5.75,5.541667,4.458333,2.416667,1,2,-0.125,0.625,4.25
